tbl_PhysicalSites.PhysicalSiteID,OrganisationID,PostCode,ActualSalesId,tbl_ActualSales.PhysicalSiteID,WorkDate,Type,ActualSalesValue
1783,281,NG1 1NN,25136608,1783,01-Mar-19,Food,651.75
1783,281,NG1 1NN,25136609,1783,01-Mar-19,Drink,1432.4
1783,281,NG1 1NN,25136610,1783,01-Mar-19,Accommodation,0
465,89,GU8 5HJ,25136638,465,01-Mar-19,Food,2747.2
465,89,GU8 5HJ,25136639,465,01-Mar-19,Drink,1784.24
465,89,GU8 5HJ,25136640,465,01-Mar-19,Accommodation,0
492,89,CH3 5AL,25136686,492,01-Mar-19,Food,1855.01
492,89,CH3 5AL,25136687,492,01-Mar-19,Drink,5114.99
492,89,CH3 5AL,25136688,492,01-Mar-19,Accommodation,0
493,89,TN3 0JA,25136731,493,01-Mar-19,Food,1714.39
493,89,TN3 0JA,25136732,493,01-Mar-19,Drink,1982.09
493,89,TN3 0JA,25136733,493,01-Mar-19,Accommodation,0
241,4,LS17 0DJ,25136737,241,01-Mar-19,Food,1818.54
241,4,LS17 0DJ,25136738,241,01-Mar-19,Drink,1430.46
241,4,LS17 0DJ,25136739,241,01-Mar-19,Accommodation,-100
1079,130,SE25 6EP,25136773,1079,01-Mar-19,Food,513.75
1079,130,SE25 6EP,25136774,1079,01-Mar-19,Drink,1462.42
1079,130,SE25 6EP,25136775,1079,01-Mar-19,Accommodation,0
1784,281,NG1 2AY,25136776,1784,01-Mar-19,Food,0
1784,281,NG1 2AY,25136777,1784,01-Mar-19,Drink,4878.7
1784,281,NG1 2AY,25136778,1784,01-Mar-19,Accommodation,0
494,89,CH3 6HJ,25136779,494,01-Mar-19,Food,3304.03
494,89,CH3 6HJ,25136780,494,01-Mar-19,Drink,1778
494,89,CH3 6HJ,25136781,494,01-Mar-19,Accommodation,0
495,89,SY1 1HH,25136842,495,01-Mar-19,Food,3389.85
495,89,SY1 1HH,25136843,495,01-Mar-19,Drink,3026.3
495,89,SY1 1HH,25136844,495,01-Mar-19,Accommodation,0
1057,113,SE8 4EJ,25136851,1057,01-Mar-19,Food,411.67
1057,113,SE8 4EJ,25136852,1057,01-Mar-19,Drink,1097.02
1057,113,SE8 4EJ,25136853,1057,01-Mar-19,Accommodation,0
496,89,CW6 9PH,25136902,496,01-Mar-19,Food,1550.22
496,89,CW6 9PH,25136903,496,01-Mar-19,Drink,1049.33
496,89,CW6 9PH,25136904,496,01-Mar-19,Accommodation,0
497,89,CH7 6LR,25136941,497,01-Mar-19,Food,4854.26
497,89,CH7 6LR,25136942,497,01-Mar-19,Drink,3261.67
497,89,CH7 6LR,25136943,497,01-Mar-19,Accommodation,0
498,89,LL13 0DR,25136989,498,01-Mar-19,Food,2318.01
498,89,LL13 0DR,25136990,498,01-Mar-19,Drink,1250.5
498,89,LL13 0DR,25136991,498,01-Mar-19,Accommodation,0
499,89,LL20 8PN,25137051,499,01-Mar-19,Food,3768.77
499,89,LL20 8PN,25137053,499,01-Mar-19,Drink,2865.89
499,89,LL20 8PN,25137054,499,01-Mar-19,Accommodation,0
925,130,SE8 4NS,25137067,925,01-Mar-19,Food,549.17
925,130,SE8 4NS,25137068,925,01-Mar-19,Drink,2482.88
925,130,SE8 4NS,25137069,925,01-Mar-19,Accommodation,0
500,89,LL29 6DD,25137133,500,01-Mar-19,Food,3283.86
500,89,LL29 6DD,25137134,500,01-Mar-19,Drink,1998.58
500,89,LL29 6DD,25137135,500,01-Mar-19,Accommodation,0
501,89,SY13 4AT,25137172,501,01-Mar-19,Food,2231.44
501,89,SY13 4AT,25137173,501,01-Mar-19,Drink,1176.32
501,89,SY13 4AT,25137174,501,01-Mar-19,Accommodation,0
502,89,TF10 9LQ,25137217,502,01-Mar-19,Food,3651.75
502,89,TF10 9LQ,25137218,502,01-Mar-19,Drink,2024.73
502,89,TF10 9LQ,25137219,502,01-Mar-19,Accommodation,0
503,89,CW3 9BJ,25137259,503,01-Mar-19,Food,3588.69
503,89,CW3 9BJ,25137260,503,01-Mar-19,Drink,1627.64
503,89,CW3 9BJ,25137261,503,01-Mar-19,Accommodation,0
504,89,SK11 0HE,25137298,504,01-Mar-19,Food,3435.33
504,89,SK11 0HE,25137299,504,01-Mar-19,Drink,2234.48
504,89,SK11 0HE,25137300,504,01-Mar-19,Accommodation,0
505,89,TN13 1SG,25137340,505,01-Mar-19,Food,2230.61
505,89,TN13 1SG,25137341,505,01-Mar-19,Drink,2020.54
505,89,TN13 1SG,25137342,505,01-Mar-19,Accommodation,0
506,89,TN3 9JR,25137373,506,01-Mar-19,Food,2706.54
506,89,TN3 9JR,25137374,506,01-Mar-19,Drink,1147.74
506,89,TN3 9JR,25137375,506,01-Mar-19,Accommodation,0
926,130,SE11 4RS,25137403,926,01-Mar-19,Food,421.25
926,130,SE11 4RS,25137404,926,01-Mar-19,Drink,3925.17
926,130,SE11 4RS,25137405,926,01-Mar-19,Accommodation,0
507,89,CW11 1AL,25137415,507,01-Mar-19,Food,2395.13
507,89,CW11 1AL,25137416,507,01-Mar-19,Drink,1809.98
507,89,CW11 1AL,25137417,507,01-Mar-19,Accommodation,0
508,89,OX13 5PX,25137457,508,01-Mar-19,Food,3244.66
508,89,OX13 5PX,25137458,508,01-Mar-19,Drink,1317.04
508,89,OX13 5PX,25137459,508,01-Mar-19,Accommodation,0
509,89,UB9 6HJ,25137496,509,01-Mar-19,Food,2786.41
509,89,UB9 6HJ,25137497,509,01-Mar-19,Drink,1785.53
509,89,UB9 6HJ,25137498,509,01-Mar-19,Accommodation,0
510,89,WA4 2SX,25137553,510,01-Mar-19,Food,3428.95
510,89,WA4 2SX,25137554,510,01-Mar-19,Drink,2637.25
510,89,WA4 2SX,25137558,510,01-Mar-19,Accommodation,0
511,89,M15 4ST,25137595,511,01-Mar-19,Food,2054.47
511,89,M15 4ST,25137596,511,01-Mar-19,Drink,4310.69
511,89,M15 4ST,25137597,511,01-Mar-19,Accommodation,0
512,89,CH1 2NX,25137643,512,01-Mar-19,Food,3724
512,89,CH1 2NX,25137644,512,01-Mar-19,Drink,3969.33
512,89,CH1 2NX,25137645,512,01-Mar-19,Accommodation,0
513,89,TF8 7JF,25137694,513,01-Mar-19,Food,2661.72
513,89,TF8 7JF,25137695,513,01-Mar-19,Drink,1414.68
513,89,TF8 7JF,25137696,513,01-Mar-19,Accommodation,0
514,89,SK10 4QH,25137763,514,01-Mar-19,Food,1965.36
514,89,SK10 4QH,25137764,514,01-Mar-19,Drink,1235.7
514,89,SK10 4QH,25137765,514,01-Mar-19,Accommodation,0
515,89,L37 0AB,25137805,515,01-Mar-19,Food,3493.31
515,89,L37 0AB,25137806,515,01-Mar-19,Drink,1602.73
515,89,L37 0AB,25137807,515,01-Mar-19,Accommodation,0
516,89,WV6 7EQ,25137856,516,01-Mar-19,Food,2451.02
516,89,WV6 7EQ,25137857,516,01-Mar-19,Drink,1213.1
516,89,WV6 7EQ,25137858,516,01-Mar-19,Accommodation,0
517,89,M28 2QT,25137898,517,01-Mar-19,Food,2587.48
517,89,M28 2QT,25137899,517,01-Mar-19,Drink,3754.26
517,89,M28 2QT,25137900,517,01-Mar-19,Accommodation,0
518,89,TW20 0HN,25137940,518,01-Mar-19,Food,1068.44
518,89,TW20 0HN,25137941,518,01-Mar-19,Drink,1008.49
518,89,TW20 0HN,25137942,518,01-Mar-19,Accommodation,0
521,89,KT8 9BN,25138000,521,01-Mar-19,Food,1906.45
521,89,KT8 9BN,25138001,521,01-Mar-19,Drink,2237.32
521,89,KT8 9BN,25138002,521,01-Mar-19,Accommodation,0
522,89,GU5 9LB,25138027,522,01-Mar-19,Food,1084.21
522,89,GU5 9LB,25138028,522,01-Mar-19,Drink,1284.93
522,89,GU5 9LB,25138029,522,01-Mar-19,Accommodation,0
1093,4,HG3 1BQ,25138054,1093,01-Mar-19,Food,1323.96
1093,4,HG3 1BQ,25138055,1093,01-Mar-19,Drink,1709.17
1093,4,HG3 1BQ,25138056,1093,01-Mar-19,Accommodation,810.85
523,89,RG29 1ET,25138069,523,01-Mar-19,Food,3910.39
523,89,RG29 1ET,25138070,523,01-Mar-19,Drink,2347.46
523,89,RG29 1ET,25138071,523,01-Mar-19,Accommodation,0
524,89,GU24 8AA,25138114,524,01-Mar-19,Food,1913.05
524,89,GU24 8AA,25138115,524,01-Mar-19,Drink,1581.22
524,89,GU24 8AA,25138116,524,01-Mar-19,Accommodation,0
525,89,RG27 0RR,25138147,525,01-Mar-19,Food,2055.18
525,89,RG27 0RR,25138148,525,01-Mar-19,Drink,1062.91
525,89,RG27 0RR,25138149,525,01-Mar-19,Accommodation,0
928,130,N4 4AU,25138156,928,01-Mar-19,Food,345.92
928,130,N4 4AU,25138157,928,01-Mar-19,Drink,3296.88
928,130,N4 4AU,25138158,928,01-Mar-19,Accommodation,0
527,89,WD3 6AS,25138183,527,01-Mar-19,Food,1449.98
527,89,WD3 6AS,25138184,527,01-Mar-19,Drink,1660.03
527,89,WD3 6AS,25138185,527,01-Mar-19,Accommodation,0
528,89,RG10 9SB,25138225,528,01-Mar-19,Food,3275.42
528,89,RG10 9SB,25138226,528,01-Mar-19,Drink,1368.04
528,89,RG10 9SB,25138227,528,01-Mar-19,Accommodation,0
529,89,IG7 6ET,25138264,529,01-Mar-19,Food,3038.69
529,89,IG7 6ET,25138265,529,01-Mar-19,Drink,3412.61
529,89,IG7 6ET,25138266,529,01-Mar-19,Accommodation,0
531,89,SO40 2NP,25138309,531,01-Mar-19,Food,1858.3
531,89,SO40 2NP,25138310,531,01-Mar-19,Drink,1051.79
531,89,SO40 2NP,25138311,531,01-Mar-19,Accommodation,0
